city,team,PACE,AST,TO,ORR,DRR,REBR,EFF FG%,TS%,OFF EFF,DEF EFF,season
Indiana,Pacers,110.9,14.2,26.3,28.4,72.7,50.1,47.4,52.3,85.4,88.4,2006
Indiana,Pacers,106.4,14.4,25.8,27.1,72.6,50.5,48.7,53.3,87.2,87,2005
Indiana,Pacers,103.6,13.6,24.7,26.4,71.3,49.2,47.6,53.4,88.5,88.3,2004
Indiana,Pacers,104.9,15.6,24.7,28.5,73.9,50.9,47.1,52,87.1,80.6,2003
Indiana,Pacers,109.1,16,24.1,29,72.3,51.1,46.9,52.2,88,84.3,2002
LA Clippers,Clippers,98,17.6,12.1,20.1,73.8,47.4,52.4,55.6,106.5,100.9,2015
LA Clippers,Clippers,97,18.8,11.6,22.8,75.7,49.8,53.3,56.5,109.8,103,2014
LA Clippers,Clippers,98.4,18.4,12.7,25,72.5,49.6,52.6,56.7,109.4,102.1,2013
LA Clippers,Clippers,93.6,18.5,13.9,28.8,73.5,51.6,52.6,55.7,107.7,101,2012
LA Clippers,Clippers,91.8,15.1,22.5,29.5,73.2,51.1,50.2,53.3,105.2,102.9,2011
LA Clippers,Clippers,95.5,15,26.2,28.4,73.2,51,49.6,53.5,101.8,106.3,2010
LA Clippers,Clippers,95,15.3,25.7,27.1,74,50.4,49.1,52.9,100.9,107.1,2009
LA Clippers,Clippers,94.6,14.8,24.6,25.1,71.2,47.5,48.1,52,99.5,108.8,2008
LA Clippers,Clippers,108.2,15.1,24.2,23.1,73.1,47.9,46.5,52,85.8,93.1,2007
LA Clippers,Clippers,107.6,15.3,25.3,27.2,74.7,51.2,48.1,53.7,88.2,89.6,2006
LA Clippers,Clippers,107.7,14.9,24.3,25.4,75.9,51.8,48.7,54,89.3,88.7,2005
LA Clippers,Clippers,106.3,16,25.9,30.3,71.3,51.5,47.7,53.3,87.5,90.2,2004
LA Clippers,Clippers,108.7,13.9,26.1,32.8,70,51.3,45.3,51.2,85.1,92.4,2003
LA Clippers,Clippers,108.9,13.8,25.7,29.1,70.2,49.7,46.7,51.6,85.3,90.2,2002
LA Lakers,Lakers,98,14.1,12.5,23.1,74.7,48,46,50.9,98.6,109.3,2015
