"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"17652-9659","PF","Brandon","","Bass","8.94","25","3500","LAL@LAC","LAC","LAL","","","",""
"17652-23743","PF","Daniel","","Ochefu","2.6875","8","3500","PHI@WAS","WAS","PHI","","","",""
"17652-14533","PG","Shelvin","","Mack","14.74390243902439","41","3500","ORL@UTA","UTA","ORL","","","",""
"17652-16071","PG","Tim","","Frazier","24.37878787878788","33","3500","NO@CHI","NO","CHI","","","",""
"17652-9674","SG","Leandro","","Barbosa","10.12631546823602","38","3500","SA@PHO","PHO","SA","","","",""
"17652-9677","PF","Jared","","Dudley","15.3","30","3500","SA@PHO","PHO","SA","","","",""
"17652-14543","SF","Davis","","Bertans","6.668749809265137","32","3500","SA@PHO","SA","PHO","","","",""
"17652-16335","SG","John","","Jenkins","2.424999952316284","4","3500","SA@PHO","PHO","SA","","","",""
"17652-23248","SG","R.J.","","Hunter","0.40000001589457196","3","3500","NO@CHI","CHI","NO","","","",""
"17652-9939","PG","Patty","","Mills","17.735897748898235","39","3500","SA@PHO","SA","PHO","","","",""
"17652-9940","SF","Dante","","Cunningham","13.399999547887731","27","3500","NO@CHI","NO","CHI","","","",""
"17652-66521","PG","Marcelo","","Huertas","8.300000359030332","17","3500","LAL@LAC","LAL","LAC","GTD","Illness","",""
"17652-14554","SG","E'Twaun","","Moore","16.908333672417534","36","3500","NO@CHI","NO","CHI","","","",""
"17652-9955","SG","Marcus","","Thornton","11.793939763849432","33","3500","PHI@WAS","WAS","PHI","","","",""
"17652-15843","PG","Trey","","Burke","7.573529411764706","34","3500","PHI@WAS","WAS","PHI","","","",""
"17652-9447","SF","Joe","","Johnson","14.192683522294207","41","3500","ORL@UTA","UTA","ORL","","","",""
"17652-9704","SG","Manu","","Ginobili","16.109090169270832","33","3500","SA@PHO","SA","PHO","","","",""
"17652-23788","SG","Bryn","","Forbes","1.4076922490046575","13","3500","SA@PHO","SA","PHO","","","",""
"17652-9712","PG","Jose","","Calderon","8.870588414809284","17","3500","LAL@LAC","LAL","LAC","","","",""
"17652-9459","SF","Paul","","Pierce","6.133333206176758","12","3500","LAL@LAC","LAC","LAL","","","",""
"17652-42488","PF","Arinze","","Onuaku","1.774999976158142","8","3500","ORL@UTA","ORL","UTA","","","",""
"17652-23294","SF","Danuel","","House","1.2000000476837158","1","3500","PHI@WAS","WAS","PHI","O","Wrist","",""
"17652-9471","PF","Boris","","Diaw","9.293749809265137","32","3500","ORL@UTA","UTA","ORL","","","",""
